IED_COUNTER, IED_INTERPOLATED, IED_AF3, IED_F7, IED_F3, IED_FC5, IED_T7, IED_P7, IED_O1, IED_O2, IED_P8, IED_T8, IED_FC6, IED_F4, IED_F8, IED_AF4, IED_RAW_CQ, IED_GYROX, IED_GYROY, IED_MARKER, IED_TIMESTAMP 
115,1,4489.62,4026.54,3647.18,3656.92,4968.46,4054.23,3359.74,4018.59,3675.26,5135.26,4476.92,3119.36,3982.56,4669.87,7282,14201,1780,0,12.3563,
116,1,4461.79,4067.18,3694.23,3705.64,4896.41,4064.23,3432.56,4029.87,3717.05,5044.49,4447.05,3211.41,4001.67,4623.08,6620,14201,1780,0,12.3603,
117,1,4433.97,4107.82,3741.28,3754.36,4824.36,4074.23,3505.38,4041.15,3758.85,4953.72,4417.18,3303.46,4020.77,4576.28,5958,14201,1780,0,12.3642,
118,1,4406.15,4148.46,3788.33,3803.08,4752.31,4084.23,3578.21,4052.44,3800.64,4862.95,4387.31,3395.51,4039.87,4529.49,5296,14201,1780,0,12.3682,
119,1,4378.33,4189.1,3835.38,3851.79,4680.26,4094.23,3651.03,4063.72,3842.44,4772.18,4357.44,3487.56,4058.97,4482.69,4634,14201,1780,0,12.3721,
120,1,4350.51,4229.74,3882.44,3900.51,4608.21,4104.23,3723.85,4075,3884.23,4681.41,4327.56,3579.62,4078.08,4435.9,3972,14201,1780,0,12.376,
121,1,4322.69,4270.38,3929.49,3949.23,4536.15,4114.23,3796.67,4086.28,3926.03,4590.64,4297.69,3671.67,4097.18,4389.1,3310,14201,1780,0,12.38,
122,1,4294.87,4311.03,3976.54,3997.95,4464.1,4124.23,3869.49,4097.56,3967.82,4499.87,4267.82,3763.72,4116.28,4342.31,2648,14201,1780,0,12.3839,
123,1,4267.05,4351.67,4023.59,4046.67,4392.05,4134.23,3942.31,4108.85,4009.62,4409.1,4237.95,3855.77,4135.38,4295.51,1986,14201,1780,0,12.3879,
124,1,4239.23,4392.31,4070.64,4095.38,4320,4144.23,4015.13,4120.13,4051.41,4318.33,4208.08,3947.82,4154.49,4248.72,1324,14201,1780,0,12.3918,
125,1,4211.41,4432.95,4117.69,4144.1,4247.95,4154.23,4087.95,4131.41,4093.21,4227.56,4178.21,4039.87,4173.59,4201.92,662,14201,1780,0,12.3957,
