IED_COUNTER, IED_INTERPOLATED, IED_AF3, IED_F7, IED_F3, IED_FC5, IED_T7, IED_P7, IED_O1, IED_O2, IED_P8, IED_T8, IED_FC6, IED_F4, IED_F8, IED_AF4, IED_RAW_CQ, IED_GYROX, IED_GYROY, IED_MARKER, IED_TIMESTAMP,
19,0,4182.05,4181.03,4173.33,4224.62,4168.72,4167.18,4156.92,4142.56,4246.15,4155.38,4164.1,4213.85,4162.05,4163.08,0,2043,2036,0,10.9603,
20,0,4174.87,4180,4170.26,4230.26,4165.13,4166.15,4161.03,4143.08,4244.1,4155.38,4154.36,4214.36,4158.97,4155.38,0,2041,2034,0,10.9682,
21,0,4173.33,4178.46,4173.33,4234.36,4168.72,4164.62,4161.03,4145.13,4247.69,4150.26,4153.33,4213.85,4162.56,4157.44,0,2041,2035,0,10.9761,
22,0,4184.62,4187.18,4173.85,4222.05,4183.08,4169.74,4167.18,4155.9,4238.97,4160.51,4168.72,4210.77,4174.36,4174.36,0,2040,2034,0,10.9839,
23,0,4197.44,4197.44,4180,4214.36,4184.1,4172.31,4172.31,4166.67,4229.23,4172.82,4182.56,4200,4182.05,4184.62,0,2040,2035,0,10.9918,
24,0,4197.44,4196.41,4176.92,4216.92,4179.49,4166.67,4164.62,4167.18,4232.82,4171.79,4184.62,4201.54,4183.08,4181.54,0,2040,2035,0,10.9997,
25,0,4189.74,4188.21,4174.87,4218.46,4181.54,4168.21,4158.46,4161.54,4238.46,4168.21,4178.46,4204.1,4182.05,4177.44,0,2039,2033,0,11.0076,
26,0,4191.79,4190.26,4181.54,4215.9,4184.1,4175.38,4170.77,4162.56,4232.31,4176.41,4179.49,4200.51,4185.13,4182.56,0,2038,2032,0,11.0155,
27,0,4194.87,4194.36,4173.85,4218.97,4184.1,4175.38,4181.03,4166.15,4229.23,4181.03,4181.54,4204.1,4183.08,4182.56,0,2040,2034,0,11.0233,
28,0,4184.62,4186.67,4168.72,4226.15,4184.62,4173.33,4176.92,4162.05,4234.36,4170.26,4170.26,4207.69,4172.82,4170.77,0,2035,2034,0,11.0312,
29,0,4177.44,4181.54,4171.28,4225.64,4185.13,4168.72,4171.79,4165.13,4232.31,4169.74,4165.64,4209.74,4172.82,4167.18,0,2036,2034,0,11.0391,
30,0,4172.31,4173.33,4163.08,4232.82,4172.82,4163.59,4166.15,4163.59,4237.44,4170.77,4161.54,4214.87,4168.21,4162.56,0,2040,2035,0,11.047,
31,0,4171.79,4172.82,4158.97,4235.9,4169.74,4167.18,4163.59,4157.44,4239.49,4163.59,4160,4216.92,4161.03,4157.44,0,2041,2034,0,11.0549,
32,0,4186.15,4191.79,4173.33,4222.56,4186.15,4174.36,4169.23,4168.72,4224.62,4172.82,4175.38,4206.15,4176.41,4169.74,0,2044,2035,0,11.0627,
